Ac2O3	Actinium(lll) Oxide	12002-61-8
AlI	Aluminium Monoiodide	29977-41-1
AlI3	Aluminium Triiodide	7784-23-8
AlLiO2	Lithium Aluminate	12003-67-7
AlN	Aluminium Nitride	24304-00-5
Al(NO2)3	Aluminium Nitrite	
Al(NO3)3	Aluminium Nitrate	13473-90-0
AlNaO2	Sodium Aluminate	1302-42-7
AlO	Aluminium Monoxide	14457-64-8
AlOSi	Aluminium Silicon Monoxide	37361-47-0
AlO2	Aluminium(iv) Oxide	11092-32-3
AlP	Aluminium Monophosphide	20859-73-8
AlPO4	Aluminium Phosphate	7784-30-7
AlTe	Aluminium Monotelluride	23330-86-1
AlTe2	Monoaluminium Ditelluride	39297-18-2
Al2BeO4	Beryllium Aluminium Oxide	12004-06-7
Al2Br6	Dialuminium Hexabromide	18898-34-5
Al2(CO3)3	Aluminium Carbonate	14455-29-9
Al2Cl9K3	Potassium Aluminium Chloride	74978-20-4
Al2CoO4	Cobalt Blue	1333-88-6
Al2F6	Aluminium Fluoride	17949-86-9
Al2I6	Aluminium Iodide	18898-35-6
Al2MgO4	Magnesium Aluminium Oxide	12068-51-8
Al2O	Dialuminium Monoxide	12004-36-3
Al2O2	Dialuminium Dioxide	12252-63-0
Al2O3	Aluminium Oxide	1344-28-1
Al2O5Si	Aluminium Silicate	1302-76-7
Al2O5Si	Aluminium Silicate	12141-46-7
Al2O5Si	Andalusite	12183-80-1
Al2O7Si2	Aluminium Silicate	1332-58-7
Al2S	Dialuminium Monosulfide	12004-45-4
Al2S3	Aluminium Sulfide	1302-81-4
Al2(SO4)3	Aluminium Sulfate	14455-29-9
Al2Se	Dialuminium Selenide	12598-14-0
Al2Te	Dialuminium Telluride	12598-16-2
Al3F14Na5	Chiolite	1302-84-7
Al4C3	Aluminium Carbide	1299-86-1
Al6BeO10	Beryllium Aluminium Oxide	12253-74-6
Al6O13Si2	Mullite	1302-93-8
ArClF	Argon Chloride Fluoride	53169-15-6
ArClH	Argon Chloride Hydride	163731-17-7
ArFH	Argon Fluoride Hydride	163731-16-6
AsBrO	Arsenic Oxybromide	82868-10-8
AsBr3	Arsenic Tribromide	7784-33-0
AsClO	Arsenic Monoxide Monochloride	14525-25-8
AsCl3	Arsenic Trichloride	7784-34-1
AsCl3O	Arsenic Oxychloride	60646-36-8
AsCl4F	Arsenic Tetrachloride Fluoride	87198-15-0
AsF3	Arsenic Trifluoride	7784-35-2
AsF5	Arsenic Pentafluoride	7784-36-3
AsH3	Arsine	7784-42-1
AsI3	Arsenic Triiodide	7784-45-4
AsO	Arsenic Monoxide	12005-99-1
AsO2	Arsenic Dioxide	12255-12-8
AsP	Arsenic Monophosphide	12255-33-3
AsP3	Arsenic Triphosphide	12511-95-4
AsTl	Thallium Arsenide	12006-09-6
As2I4	Arsenic Diiodide	13770-56-4
As2O3	Arsenic Trioxide	1327-53-3
As2P2	Arsenic Diphosphide	12512-03-7
As2O5	Arsenic Pentoxide	1303-28-2
As2S4	Arsenic Tetrasulfide	1303-32-8
As2S5	Arsenic Pentasulfide	1303-34-0
As2Se	Arsenic Hemiselenide	1303-35-1
As2Se3	Arsenic Triselenide	1303-36-2
As2Se5	Arsenic Pentaselenide	1303-37-3
As3O4	Arsenic Tetraoxide	83527-53-1
As3P	Arsenic(iii) Phosphide	12512-11-7
As4O3	Tetraarsenic Trioxide	83527-54-2
As4O5	Tetraarsenic Pentaoxide	83527-55-3
As4S3	Tetraarsenic Trisulfide	12512-13-9
As4S4	Tetraarsenic Tetrasulfide	12279-90-2
AuBO	Gold Monoboride Monoxide	12588-90-8
AuBr	Gold Bromide	10294-27-6
AuBr3	Gold Tribromide	10294-28-7
AuCN	Gold Cyanide	506-65-0
AuCl	Gold Chloride	10294-29-8
AuCl3	Gold Trichloride	13453-07-1
AuF3	Gold Trifluoride	14720-21-9
AuI	Gold Iodide	10294-31-2
AuI3	Gold(iii) Iodide	31032-13-0
Au(OH)3	Gold Hydroxide	1303-52-2
AuTe	Gold Telluride	37043-71-3
Au2O3	Gold Trioxide	1303-58-8
Au2S	Gold Sulfide	1303-60-2
Au2S3	Gold Trisulfide	1303-61-3
Au2(SeO4)3	Gold Triselenate	10294-32-3
Au2Se3	Gold Triselenide	1303-62-4
BAs	Boron Arsenide	12005-69-5
BAsO4	Boron(iii) Arsenate	
BBr3	Boron Tribromide	10294-33-4
BCl3	Boron Trichloride	10294-34-5
BF3	Boron Trifluoride	7637-07-2
BI3	Boron Iodide	13517-10-7
BN	Boron Nitride	10043-11-5
B(NO2)3	Boron Nitrite	
B(NO3)3	Boron Nitrate	
B(OH)3	Boric Acid	10043-35-3
BP	Boron(iii) Phosphide	20205-91-8
BPO4	Boron(iii) Orthophosphate	13308-51-5
B2Cl4	Boron Chloride	13701-67-2
B2F4	Boron Trifluoride	13965-73-6
B2H6	Boron Hydride	19287-45-7
B2O3	Boron(iii) Oxide	1303-86-2
B2S3	Boron Sulfide	12007-33-9
B3N3H6	Borazine	6569-51-3
B4C	Boron Carbide	12069-32-8
Ba(AlO2)2	Barium Aluminate	12004-04-5
Ba(AsO3)2	Barium Arsenite	125687-68-5
Ba(AsO4)2	Barium Arsenate	56997-31-0
BaB6	Barium Hexaboride	12046-08-1
Ba(BrO3)2 H2O	Barium Bromate Monohydrate	10326-26-8
Ba(BrO3)2 2H2O	Barium Bromate Dihydrate	
BaBr2	Barium Bromide	10553-31-8
Ba(CHO2)2	Barium Formate	541-43-5
Ba(C2H3O2)2	Barium Acetate	543-81-7
Ba(CN)2	Barium Cyanide	542-62-1
BaC2O4	Barium Oxalate	516-02-9
BaC2	Barium Carbide	50813-65-5
BaCO3	Barium Carbonate|Witherite	513-77-9
Ba(ClO4)2	Barium Perchlorate	13465-95-7
BaCl2	Barium Chloride	10361-37-2
BaCrO4	Barium Chromate|Barium Chromate(vi)	10294-40-3
BaF2	Barium Fluoride	7787-32-8
BaFeSi4O10	Gillespite	
BaHgI4	Barium Tetraiodomercurate(ii)	10048-99-4
BaI2	Barium Iodide	13718-50-8
BaK2(CrO4)2	Barium Potassium Chromate	27133-66-0
BaMnO4	Barium Manganate	7787-35-1
Ba(MnO4)2	Barium Permanganate	7787-36-2
BaMoO4	Barium Molybdate	7787-37-3
BaN6	Barium Azide	18810-58-7
Ba(NO2)2	Barium Nitrite	13465-94-6
Ba(NO3)2	Barium Nitrate	10022-31-8
Ba(NbO3)2	Barium Niobate	12009-14-2
BaNb2O6	Barium Metaniobate	12009-14-2
BaO	Barium Oxide	1304-28-5
Ba(OH)2	Barium Hydroxide|Baryta	17194-00-2
BaO2	Barium Peroxide	1304-29-6
Ba(PO3)2	Barium Metaphosphate	13466-20-1
BaS	Barium Sulfide	21109-95-5
Ba(SCN)2	Barium Thiocyanate	2092-17-3
BaS2O3	Barium Thiosulfate	35112-53-9
BaSiF6	Barium Hexafluorosilicate	17125-80-3
BaSO3	Barium Sulfite	7787-39-5
BaSO4	Barium Sulfate|Barite	7787-43-7
BaSe	Barium Selenide	1304-39-8
BaSeO3	Barium Selenite	13718-59-7
BaSeO4	Barium Selenate	7787-41-9
BaSiO3	Barium Metasilicate	13255-26-0
BaSi2	Barium Silicide	1304-40-1
BaSi2O5	Barium Disilicate	12650-28-1
BaSn3	Barium Stannate	12009-18-6
BaTeO3	Barium Tellurite	58440-17-8
BaTeO4 3H2O	Barium Tellurate Trihydrate	28557-54-2
BaTiO3	Barium Titanate|Barium Metatitanate	12047-27-7
BaU2O7	Barium Uranium Oxide	10380-31-1
BaWO4	Barium Tungstate	7787-42-0
BaZrO3	Barium Zirconate	12009-21-1
Ba2Na(NbO3)5	Barium Sodium Niobate	12323-03-4
Ba2P2O7	Barium Pyrophosphate	13466-21-2
Ba2V2O7	Barium Pyrovanadate	
Ba2XeO6	Barium Perxenate	
Ba3(CrO4)2	Barium Chromate(v)	12345-14-1
Ba3N2	Barium Nitride	12047-79-9
Ba3(PO4)2	Barium Orthophosphate	
Ba3(VO4)2	Barium Orthovandate	39416-30-3
BeB2	Beryllium Boride	12228-40-9
Be(BH4)2	Beryllium Borohydride	17440-85-6
BeBr2	Beryllium Bromide	7787-46-4
Be(CHO2)2	Beryllium Formate	1111-71-3
BeCO3	Beryllium Carbonate	13106-47-3
Be(C2H3O2)2	Beryllium Acetate	543-81-7
Be(C5H7O2)2	Beryllium Acetylacetonate	10210-64-7
BeCl2	Beryllium Chloride	7787-47-5
Be(ClO)2	Beryllium Hypochlorite	
Be(ClO3)2	Beryllium Chlorate	
Be(ClO4)2	Beryllium Perchlorate	13597-95-0
BeF2	Beryllium Fluoride	7787-49-7
BeI2	Beryllium Iodide	7787-53-3
Be(NO2)2	Beryllium Nitrite	
Be(NO3)2	Beryllium Nitrate	7787-55-5
BeO	Beryllium Oxide|Bromellite	1304-56-9
Be(OH)2	Beryllium Hydroxide	13327-32-7
BeS	Beryllium Sulfide	13598-22-6
BeSO3	Beryllium Sulfite	
BeSO4	Beryllium Sulfate	13510-49-1
Be2C	Beryllium Carbide	506-66-1
Be3N2	Beryllium Nitride	1304-54-7
BiBO3	Bismuth(iii) Orthoborate	14059-35-9
BiBr3	Bismuth(iii) Bromide	7787-58-8
Bi(C2H3O2)3	Bismuth(iii) Acetate	22306-37-2
BiC6H5O7	Bismuth(iii) Citrate	813-93-4
BiCl3	Bismuth(iii) Chloride	7787-60-2
BiF3	Bismuth(iii) Fluoride	7787-61-3
BiI3	Bismuth(iii) Iodide	7787-64-6
Bi(NO3)3 5H2O	Bismuth(iii) Nitrate Pentahydrate	10035-06-0
BiOCl	Bismuth(iii) Oxychloride	7787-59-9
BiOI	Bismuth(iii) Oxyiodide	7787-63-5
(BiO)2CO3	Bismuth Oxycarbonate	5892-10-4
BiPO4	Bismuth(iii) Orthophosphate	10049-01-1
Bi(VO3)5	Bismuth(iii) Metavanadate	
Bi2Se3	Bismuth(iii) Selenide|Bismuth Selenide	12068-69-8
Bi2(MoO4)3	Bismuth(iii) Molybdate	13565-96-3
Bi2O3	Bismuth(iii) Oxide	1304-76-3
Bi2S3	Bismuth(iii) Sulfide|Bismuthinite	1345-07-9
Bi2Se3	Bismuth(iii) Selenide	12068-69-8
BrCl	Bromine Chloride	13863-41-7
BrO3	Bromate Ion	15541-45-4
Br2	Bromine	7726-95-6
Br2O5	Dibromine Pentoxide	
CCl2F2	Dichlorodifluoromethane|Freon-12	75-71-8
CCl4	Carbon Tetrachloride|Tetrachloromethane	56-23-5
CFCl3	Freon-11	75-69-4
CFCl2CF2Cl	Freon-13	75-72-9
CHCl3	Chloroform|Trichloromethane|Methyl Trichloride	67-66-3
CHO2	Formate Ion	
CH2CHCHCH2	1,3-butadiene	106-99-0
CH2CO	Ketene	463-51-4
CH2CHOH	Ethenol	557-75-5
CH2ClCOOH	Chloroacetic Acid	79-11-8
CH2Cl2	Dichloromethane	75-09-2
CH2O	Formaldehyde	19710-56-6
CH2(OH)2	Methanediol	
CH2OHCH2OH	Ethylene Glycol	107-21-1
CH3CCH	Propyne	74-99-7
CH3CHCHCH3	2-butene	107-01-7
CH3CHCH2	Propene	115-07-1
CH3CHO	Acetaldehyde	75-07-0
CH3CH2Br	Bromoethane	74-96-4
CH3CH2CH2CH2OH	Butan-1-ol	71-36-3
CH3CH2CH2OH	1-propanol|Propan-1-ol	71-23-8
CH3CH2CONH2	Propanamide	79-05-0
CH3CH2COOH	Propionic Acid	79-09-4
CH3CH2OCH2CH3	Diethyl Ether|Ethoxyethane	60-29-7
CH3CH2OH	Ethanol	64-17-5
CH3(CH2)16COOH	Stearic Acid	57-11-4
CH3COCH3	Acetone	67-64-1
CH3COCl	Acetyl Chloride	75-36-5
CH3CONH2	Acetamide|Ethanamide	60-35-5
CH3COO	Acetate Ion	71-50-1
CH3COOCHCH2	Vinyl Acetate	108-05-4
CH3COOCH2C6H5	Benzyl Acetate	140-11-4
CH3COO(CH2)2CH(CH3)2	Isoamyl Acetate	123-92-2
CH3COOH	Acetic Acid|Ethanoic Acid	64-19-7
CH3COONa	Sodium Acetate	127-09-3
CH3COOK	Potassium Acetate	127-08-2
CH3COORb	Rubidium Acetate	563-67-7
CH3COOCs	Caesium Acetate	3396-11-0
(CH3CO)2O	Acetic Anhydride	
CH3Cl	Chloromethane|Methyl Chloride	74-87-3
CH3I	Iodomethane|Methyl Iodide	74-88-4
CH3OCH3	Dimethyl Ether	115-10-6
CH3OCs	Caesium Methoxide	
CH3OH	Methanol	67-56-1
CH3OK	Potassium Methoxide	865-33-8
CH3OLi	Lithium Methoxide	865-34-9
CH3ONa	Sodium Methoxide	124-41-4
CH3ORb	Rubidium Methoxide	
CH3SCH3	Dimethyl Sulfide|Dms	75-18-3
CH3SH	Methanethiol	74-93-1
(CH3)2CHOH	Isopropyl Alcohol|2-propanol|Propan-2-ol|Isopropanol	67-63-0
(CH3)2CO	Acetone	67-64-1
(CH3)2C2O4	Dimethyl Oxalate	553-90-2
(CH3)2NNH2	Dimethyl Hydrazine	30260-66-3
(CH3)2SCH2CH2COO	Dimethylsulfoniopropionate|Dmsp	7314-30-9
(CH3)3CCl	T-butyl Chloride	507-20-0
(CH)3COH	T-butyl Alcohol	75-65-0
(CH3)3COOC(CH3)3	Di-t-butyl Peroxide|Dtbp	110-05-4
CH4	Methane|Natural Gas	74-82-8
CH4N2O2	Hydroxycarbamide	127-07-1
CN	Cyanide Ion	57-12-5
(CN)2	Cyanogen	460-19-5
C(NH2)3NO3	Guanidine Nitrate	506-93-4
CNO	Cyanate Ion	661-20-1
CO	Carbon Monoxide	630-08-0
COCl2	Phosgene	75-44-5
CO2	Carbon Dioxide	124-38-9
CO3	Carbon Trioxide	
CO3	Carbonate Ion	3812-32-6
CS2	Carbon Disulfide	75-15-0
C2F4	Tetrafluoroethylene	116-14-3
C2H2	Acetylene	74-86-2
C2H3Cl	Vinyl Chloride	75-01-4
C2H3O2	Acetate Ion	71-50-1
C2H4	Ethylene	74-85-1
C2H4Cl2	Ethylene Dichloride	107-06-2
C2H4N4	3-amino-1,2,4-triazole	61-82-5
C2H4O2	Acetic Acid	64-19-7
C2H5Br	Bromoethane	74-96-4
C2H5NH2	Ethylamine	75-04-7
C2H5NO2	Glycine|Gly	56-40-6
C2H5O	Ethoxide Ion	
C2H5OH	Ethanol|Ethyl Alcohol	64-17-5
(C2H5)2NH	Diethylamine	109-89-7
C2H5OCs	Caesium Ethoxide	
C2H5OK	Potassium Ethoxide	917-58-8
C2H5ONa	Sodium Ethoxide	141-52-6
C2H5ORb	Rubidium Ethoxide	
C2H6	Ethane	74-84-0
C2H6OS	Dimethyl Sulfoxide|Dmso	67-68-5
C2H7NO3S	Taurine	107-35-7
C2O4	Oxalate Ion	
C3H3O4	Malonate Ion	156-80-9
C3H4N2	Imidazole	288-32-4
C3H4N2S	Aminothiazole	96-50-4
C3H4O3	Pyruvic Acid	127-17-3
C3H4O4	Malonic Acid	141-82-2
C3H5N3	3-amino-1h-pyrazole	1820-80-0
C3H5N3O9	Nitroglycerine	55-63-0
C3H6	Cyclopropane	75-19-4
C3H6	Propylene	115-07-1
C3H7NO2	?-Alanine	56-41-7
C3H7NO2	?-Alanine	107-95-9
C3H7NO2S	Cysteine|Cys	52-90-4
C3H7NO3	Serine|Ser	56-45-1
C3H8	Propane	74-98-6
C3H8O	Propanol|1-propanol	71-23-8
C3H8O	2-propanol	67-63-0
C3H8O3	Glycerol	56-81-5
C3N3(OH)3	Cyanuric Acid	108-80-5
C3N12	Cyanuric Triazide	5637-83-2
C4HCl2FN2	2,6-dichloro-5-fluoroacil	2927-71-1
C4H2BrClN2	5-bromo-2-chloropyrimidine	32779-36-5
C4H2Cl2N2	2,4-dichloropyrimidine	3934-20-1
C4H2Cl2N2	4,6-dichloropyrimidine	1193-21-1
C4H3Cl2N3	2-amino-4,6-dichloropyrimidine	56-05-3
C4H3FN2O2	Fluorouracil	51-21-8
C4H4FN3O	Flucytosine	2022-85-7
C4H4N2O2	Uracil	66-22-8
C4H4N4	3-aminopyrazole-4-carbonitrile	16617-46-2
C4H5N3O	Cytosine	71-30-7
C4H6N2S	Methimazole	60-56-0
C4H6N2S	2-amino-4-methylthiazole	1603-91-4
C4H6N4O	2,4-diamino-6-hydroxypyrimidine	56-06-4
C4H6O4	Succinic Acid	110-15-6
C4H7BrO2	2-bromobutyric Acid	80-58-0
C4H7BrO2	4-bromobutyric Acid	2623-87-2
C4H7BrO2	?-Bromoisobutyric Acid	2052-01-9
C4H7BrO2	Ethyl Bromoacetate	105-36-2
C4H7NO2	1-aminocyclopropanecarboxylic Acid	22059-21-8
C4H7NO4	Aspartic Acid|Asp	56-84-8
C4H8	Cyclobutane	287-23-0
C4H8N2O3	Asparagine|Asn	70-47-3
C4H8O	Tetrahydrofuran|Thf	109-99-9
C4H8O2	Ethyl Acetate	
C4H9NO2	?-Aminobutyric Acid	56-12-2
C4H9NO3	Threonine|Thr	72-19-5
C4H9OH	Butyl Alcohol	71-36-3
C4H10	Butane	106-97-8
C4H10	2-methylpropane	75-28-5
C4H10O	Diethyl Ether	60-29-7
C5H3BrN2O2	2-bromo-5-nitropyridine	4487-59-6
C5H3Br2N	3,5-dibromopyridine	625-92-3
C5H3ClN2O2	2-chloro-5-nitropyridine	4585-45-2
C5H3ClN4	6-chloropurine	87-42-3
C5H4NCOOH	Niacin	59-67-6
C5H4N2O2	Pyrazinoic Acid	98-97-5
C5H4N2O4	Orotic Acid	65-86-1
C5H4N4O	Allopurinol	315-30-0
C5H4N4O	Hypoxanthine	68-94-0
C5H4N4O2	Xanthine	69-89-6
C5H4N4S	Mercaptopurine	50-44-2
C5H4O2S	B-thiophenic Acid	88-13-1
C5H5	Cyclopentadienyl Anion	
C5H5BrN2	2-amino-5-bromopyridine	1072-97-5
C5H5ClN2	2-amino-4-chloropyridine	19798-80-2
C5H5ClN2	2-amino-5-chloropyridine	1072-98-6
C5H5ClN2	4-amino-2-chloropyridine	14432-12-3
C5H5IN2	2-amino-5-iodopyridine	20511-12-0
C5H5N	Pyridine	110-86-1
C5H5NO	2-pyridone	142-08-5
C5H5NO	3-pyridinol	109-00-2
C5H5N3O	Pyrazinamide	98-96-4
C5H5N3O2	2-amino-nitropyridine	4214-76-0
C5H5N5	Adenine	73-24-5
C5H5N5O	Guanine	73-40-5
C5H6BNO2	3-pyridinylboronic Acid	1692-25-7
C5H6N2	4-aminopyridine	504-24-5
C5H6N2	2-aminopyridine	504-29-0
C5H6N2O	2-amino-3-hydroxypyridine	16867-03-1
C5H6N2OS	Methylthiouracil	56-04-2
C5H6N2O2	Thymine	65-71-4
C5H6O5	?-Ketoglutaric Acid	328-50-7
C5H7N3	3,4-diaminopyridine	54-96-6
C5H9NO2	Proline|Pro	147-85-3
C5H9NO4	Glutamic Acid|Glu	56-86-0
C5H10	Cyclopentane	287-92-3
C5H10N2O3	Glutamine|Gln	56-85-9
C5H10O4	Deoxyribose	533-67-5
C5H11NO2	Valine|Val	660-88-8
C5H11NO2S	Methionine|Met	25343-91-3
C5H12	Pentane	109-66-0
C6F5COOH	Pentafluorobenzoic Acid	602-94-8
C6H4BrNO2	5-bromonicotinic Acid	20826-04-4
C6H4ClNO2	2-chloronicotinic Acid	2942-59-8
C6H4ClN3	6-chloro-7-dezapurine	3680-69-1
C6H4ClNO2	6-chloro-2-pyridinecarboxylic Acid	4684-94-0
C6H4ClNO2	6-chloronicotinic Acid	5326-23-8
C6H4O2	Orthobenzoquinone	583-63-1
C6H4O2	Parabenzoquinone|Quinone	106-51-4
C6H5CHO	Benzaldehyde	100-52-7
C6H5CH2OH	Benzyl Alcohol	100-51-6
C6H5COCl	Benzoyl Chloride	98-88-4
C6H5COO	Benzoate Ion	766-76-7
C6H5COOH	Benzoic Acid	65-85-0
C6H5F	Fluorobenzene	462-06-6
C6H5NO2	Picolinic Acid	98-98-6
C6H5NO3	4-nitrophenol	100-02-7
C6H5NO3	6-hydroxyniacin	5006-66-6
C6H5OH	Phenol	108-95-2
C6H5O7	Citrate Ion	126-44-3
(C6H5)4Ge	Tetraphenylgermane	1048-05-1
C6H6	Benzene	71-43-2
C6H6BClO2	4-chlorophenylboronic Acid	1679-18-1
C6H6BFO2	4-fluorophenylboronic Acid	1765-93-1
C6H6IN	4-iodoaniline	540-37-4
C6H6N2O	Nicotinamide	98-92-0
C6H6N2O2	6-aminonicotinic Acid	3167-49-5
C6H6O	Phenol	108-95-2
C6H6O2	Catechol	120-80-9
C6H6O2	Hydroquinone	123-31-9
C6H6O2	Resorcinol	108-46-3
C6H6O3	Hydroxymethylfurfural	67-47-0
C6H7BO2	Phenylboronic Acid	98-80-6
C6H7N3O	Isoniazid	54-85-3
C6H8N2	2-amino-3-methylpyridine	1603-40-3
C6H8N2	2-amino-4-methylpyridine	695-34-1
C6H8N2	2-amino-5-methylpyridine	1603-41-4
C6H8N2	2-amino-6-methylpyridine	1824-81-3
C6H8N2O2S	Ethyl 2-aminothiazole-4-carboxylate	5398-36-7
C6H8N2O2S	Sulfanilamide	63-74-1
C6H8O7	Citric Acid	77-92-9
C6H9N3O2	Histidine|His	71-00-1
C6H9N3O2	Ethyl 5-amino-1h-pyrazole-4-carboxylate	6994-25-8
C6H9N3O3	Metronidazole	443-48-1
C6H10O3	4-acetylbutyric Acid	3128-06-1
C6H10O3	Butyl Glyoxylate	6295-06-3
C6H10O3	Ethyl Acetoacetate	141-97-9
C6H10O3	2-hydroxypropyl Acrylate	25584-83-2
C6H10O3	Pantolactone	599-04-2
C6H10O3	Propyl Pyruvate	20279-43-0
C6H11NO2	Cycloleucine	52-52-8
C6H11NO2	Pipecolic Acid	3105-95-1
C6H12	Cyclohexane	110-82-7
C6H12O6	Fructose	7660-25-5
C6H12O6	Glucose	50-99-7
C6H13NO	N-ethylmorpholine	1119-29-5
C6H13NO2	Aminocaproic Acid	60-32-2
C6H13NO2	Isoleucine|Ile	73-32-5
C6H13NO2	Leucine|Leu	61-90-5
C6H14	Hexane	110-54-3
C6H14N2O2	Lysine|Lys	56-87-1
C6H14N4O2	Arginine|Arg	74-79-3
CHH5FO2	4-fluorobenzoic Acid	456-22-4
C7H5NO4	Quinolinic Acid	89-00-9
C7H5NO4	Dipicolinic Acid	499-83-2
C7H5NS2	2-mercaptobenzothiazole	149-30-4
C7H5N3O2	7-nitroindazole	2942-42-9
C7H6N2	7-azaindole	271-23-6
C7H6O2	Benzoic Acid	65-85-0
C7H6O2	4-hydroxybenzaldehyde	123-08-0
C7H6O3	Salicylic Acid	69-72-7
C7H6O3	4-hydroxybenzoic Acid	99-96-7
C7H6O4	Protocatechuic Acid	99-50-3
C7H6O4	2,3-dihydroxybenzoic Acid	303-38-8
C7H6O5	Gallic Acid	149-91-7
C7H7BO4	4-carboxyphenylboronic Acid	14047-29-1
C7H7NO2	4-aminobenzoic Acid	150-13-0
C7H7NO3	Mesalazine	89-57-6
C7H7N3	Benomyl Metabolite	934-32-7
C7H8	Toluene	108-88-3
C7H8ClN3O4S2	Hydrochlorothiazide	58-93-5
C7H8N4O2	Theophylline	58-55-9
C7H9BO2	4-methylphenylboronic Acid	5720-05-8
C7H9BO3	4-boronoanisole	5720-07-0
C7H10N2	4-dimethylaminopyridine	1122-58-3
C7H16	Heptane	142-82-5
C8H5F3N2OS	Riluzole	1744-22-5
C8H5NO2	Isatin	91-56-5
C8H6BrN	5-bromoindole	10075-50-0
C8H6BrN	6-bromoindole	52415-29-9
C8H6ClN	4-chloroindole	25235-85-2
C8H6Cl2O3	2,4-dichlorophenoxyacetic Acid	94-75-7
C8H6N2O	4-quinazolinol	491-36-1
C8H6N2O2	Indazolium-3-carboxylate	4498-67-3
C8H7N	Indole	120-72-9
C8H7NO	Indol-4-ol	2380-94-1
C8H7NO	Oxindole	59-48-3
C8H7NO	5-hydroxyindole	1953-54-4
C8H8	Cubane	277-10-1
C8H8N2OS	2-amino-6-methoxybenzothiazole	1747-60-0
C8H8O3	4-hydroxyphenylacetic Acid	156-38-7
C8H8O3	Isovanillin	621-59-0
C8H8O4	Vanillic Acid	121-34-6
C8H9NO2	Acetaminophen	103-90-2
C8H9NO2	Aminomethylbenzoic Acid	56-91-7
C8H9NO2	Hydroxydanaidal	34199-35-4
